bot,position,pool,pair,created_at_utc,closed_at_utc,deposit_sol,withdrawal_sol,fee_sol,pnl_sol,pnl_usd,mode,strategy,event,exit_reason,peak_pnl_pct,hold_minutes,ai_holds,bin_width
meridian,8CJMj1gq1ntHHhT37E2jsFeQWkVjBmAjrwYFhDnsZDCF,63TL5RqBnTeLWK96sk9rUBEBWxmVFcWkDHGNP1vaYz3P,NASDUCK-SOL,2026-09-09T10:00:24+00:00,2026-09-09T10:09:21+00:00,0.49999998599999995,0.49999997,0.000000013999999999992519,-0.000000001999999943436137,0.09446486665574838,,bid_ask,exit,Out of range for 5m (limit: 5m),,8.95,,35
meridian,2c81TqspdifHSQojfFBx1P9PF3BWmtM6y4nyaJxaM3P7,ALmG6Utch8cRejvmYEe5i6GTw2MAoW3uAv3Gnkv17cQV,CRIMECAT-SOL,2026-09-09T11:00:13+00:00,2026-09-09T11:05:32+00:00,0.49999997000000007,0.49999343500000004,0.000005725999999999997,-0.0000008090000000460229,-0.20449590536458828,,bid_ask,exit,Out of range for 5m (limit: 5m),,5.316666666666666,,63
meridian,3W9DbdU1ey9wbi8GQWRioyXtUReNE4QVdXeW6jwam8PH,6xBKq4zHKwe4u19CZfm6cyqBoFojsc1yUNB8dZMHbqb,SOLCAT-SOL,2026-09-09T11:15:18+00:00,2026-09-09T11:21:41+00:00,0.499999986,0.4999999560000001,0.000000005999999999999476,-0.00000002399999993185631,-0.0892240069721808,,bid_ask,exit,Out of range for 5m (limit: 5m),,6.383333333333334,,35
meridian,3EQmL68x9dqEGY3Pwv8TYJ88Dk5kE1MDH3nreMh1L4AZ,5LjukK9FDhTo51wp2zkKdAgSk7yg4khr1v9d3HwKFsQJ,PURPS-SOL,2026-09-09T11:40:17+00:00,2026-09-09T12:22:24+00:00,0.49999997000000007,0.49999908600000004,0.004302838,0.004301953999999997,0.7750689720506898,,bid_ask,exit,Out of range for 5m (limit: 5m),,42.11666666666667,,60
meridian,6yS9o7mYTGWSN4Y7RBZJivaaokMKBDU1mJ5aAfHFseYN,5LjukK9FDhTo51wp2zkKdAgSk7yg4khr1v9d3HwKFsQJ,PURPS-SOL,2026-09-09T12:25:30+00:00,2026-09-09T13:22:45+00:00,0.499999965,0.49617886084850465,0.012248980999999997,0.008427876848504656,0.9305232562506731,,bid_ask,exit,Trailing TP: peak 2.03% → current 1.40% (dropped 0.63% >= 0.6%),,57.25,,69
meridian,C6iDXQwqh6SDqMMMTZiDeeAYr33pfeGSaifJA1uidJNf,FxPPZGPiTNYzgdMkNgAkA8QRZjNxurjBo7JgPt9z4T5X,MADE-SOL,2026-09-09T15:00:21+00:00,2026-09-09T17:39:34+00:00,0.499999967,0.4981035078992345,0.005893332804570926,0.00399687370380547,0.3500212364208579,,bid_ask,exit,Trailing TP: peak 1.29% → current 0.50% (dropped 0.79% >= 0.6%),,159.21666666666667,,68
meridian,8cJEiJkcPYVvfhBJoWNouHTpwosPLrbsL2WGDRhtM8d8,A7N89BDRnHTqiHXu8MMymdn34Vopb9sbtzm5gErN65zB,xBTC-SOL,2026-09-09T18:05:43+00:00,2026-09-09T18:12:50+00:00,0.499999986,0.499992209,0.000007667141195149185,-0.00000010985880483094235,-0.09736973500425705,,bid_ask,exit,Out of range for 5m (limit: 5m),,7.116666666666666,,35
meridian,7KMi7QgcKKAsLXdoPo5nLf8p9jcAa2iN8Z9rZGGaE1N8,7hYCPpH8aKPnVFjX8zW2ZUwFuBKp6YGQJAjvFUnUxCe5,ATTN-SOL,2026-09-09T18:30:20+00:00,2026-09-09T18:38:25+00:00,0.499999986,0.49999992099999996,0.00000005799999999999286,-0.000000007000000024071085,-0.01722601157876369,,bid_ask,exit,Out of range for 5m (limit: 5m),,8.083333333333334,,35
meridian,6NtLiuHp6CW1GwzqcxrthirDTqVsK1xVx1EgJNr7Tfmc,A7N89BDRnHTqiHXu8MMymdn34Vopb9sbtzm5gErN65zB,xBTC-SOL,2026-09-09T18:40:32+00:00,2026-09-09T19:41:07+00:00,0.49999997700000004,0.4999960989869288,0.000052594136044217536,0.000048716122973024856,-0.38541309837204096,,bid_ask,exit,Low yield: fee/TVL 0.27% < min 7% (age: 60m),,60.583333333333336,,47
meridian,86pzFLdw5ZN4Chs98d5w1TJg4nnZ8hn9sVYy7d2dWSjU,9aXA6qqqXueA6Eq9WPRgas4wQgjPCEspzutbaS3UZkXT,CLANKER-SOL,2026-09-09T20:20:11+00:00,2026-09-09T20:27:55+00:00,0.499999971,0.49999860300000004,0.000011370999999999993,0.000010003000000036177,-0.011174916551532021,,bid_ask,exit,Out of range for 6m (limit: 5m),,7.733333333333333,,57
meridian,8zAfF3XEgSUFMAaahi524eMXtFKm3vZuxzGTC2yVP1n2,FWu6SsBbacvjJVNkaFfT75ehHyDkoc9WnQFHkqbW4Vop,S&P 500-SOL,2026-09-09T20:37:01+00:00,2026-09-09T20:40:33+00:00,0.4999999649999999,0.49735717360429654,0.13623792261142087,0.13359513121571753,13.67991567496064,,bid_ask,exit,take profit,,3.533333333333333,,69
meridian,AAB9nfYH5vrCd81QZo2RGo1uXyiQkwAfZJNnNhD97RQk,FWu6SsBbacvjJVNkaFfT75ehHyDkoc9WnQFHkqbW4Vop,S&P 500-SOL,2026-09-09T20:43:11+00:00,2026-09-09T20:46:36+00:00,0.49999997100000004,0.48663435723257115,0.04309482326755454,0.029729209500125586,3.0513345628178428,,bid_ask,exit,take profit,,3.4166666666666665,,57
meridian,4gyYJTp3s71VSW9YN3rVJFDKEK5ZvEBWvhavmKdzQy4h,D2HdXwArgm1TRCSa44p2v2RXNGv3oxe2XaSuW7VX1Zxh,S&P 500-SOL,2026-09-09T20:57:04+00:00,2026-09-09T20:59:01+00:00,0.49999996500000005,0.49999453,0.000004777999999999999,-0.0000006570000000705178,0.030388972777252832,,bid_ask,exit,pumped far above range,,1.95,,69
meridian,4maCm8naKZG9ipfaFMggBhKr5NbkR7YFVszg5E4jZqM6,EqsbD725iSoa23kWnQBjiYT9bcWSH8YJ6WCPYwXYoVNR,Pumpcat-SOL,2026-09-09T20:46:17+00:00,2026-09-09T21:00:01+00:00,0.49999996500000005,0.4999998009999999,0.0023326114399176497,0.0023324474399175066,0.2667311994992758,,bid_ask,exit,Out of range for 5m (limit: 5m),,13.733333333333333,,69
meridian,AM6ZinRAvaxrWieYysLhsfojVzJ3Ab1Kj3wSaPaoh1Ja,D2HdXwArgm1TRCSa44p2v2RXNGv3oxe2XaSuW7VX1Zxh,S&P 500-SOL,2026-09-09T21:10:13+00:00,2026-09-09T21:11:20+00:00,0.49999996499999994,0.4727477217764477,0.02319162991150055,-0.0040606133120517085,-0.42597393636792447,,bid_ask,exit,take profit,,1.1166666666666667,,69
meridian,PuPRNdWLcKuoVqFDDnYFTaX8KBdqRuqtDzSnTJzud5i,9NdiyGfthT9Co6cCMZG5t4YZXpf6hiJFAEvWRPSUz7s6,baton-SOL,2026-09-09T21:26:20+00:00,2026-09-09T21:27:08+00:00,0.499999967,0.49999996699999993,0,-0.00000000000000005551115123125783,0.005843899063847857,,bid_ask,exit,pumped far above range,,0.8,,69
meridian,Gda3W8T3KKdzeVrf947texSWjF468mezGzHm3MAXpoAE,D2HdXwArgm1TRCSa44p2v2RXNGv3oxe2XaSuW7VX1Zxh,S&P 500-SOL,2026-09-09T21:36:02+00:00,2026-09-09T21:38:49+00:00,0.499999965,0.499998795,0.0008372325362906221,0.0008360625362906493,0.1643377873548033,,bid_ask,exit,pumped far above range,,2.783333333333333,,69
meridian,3knKz2Nh4GuKBfekZdyGDTPqEbv3ifHz74FPTV9sVwpW,953MwRPrSjhY6FzjaiGLcEMTKbiXmdfrx6oCs2dx4oAy,FRIES-SOL,2026-09-09T21:30:11+00:00,2026-09-09T21:39:53+00:00,0.499999976,0.47229477728523256,0.014101292,-0.013603906714767466,-1.3918038806822892,,bid_ask,exit,Trailing TP: peak 2.42% → current -1.06% (dropped 3.48% >= 0.6%),,9.7,,46
meridian,CkhW68AAJJewHWKq7YRZyugcKdxnPaLPx3X39GUFJRuQ,3vnFSkGU2foSKWsbH5pEJ6HFstugb5YBELkRGgUdJAeA,NASDUCK-SOL,2026-09-09T22:21:37+00:00,2026-09-09T22:34:53+00:00,0.499999986,0.499997359,0.00008261144150401663,0.00007998444150397743,-0.1805177824775086,,bid_ask,exit,Out of range for 5m (limit: 5m),,13.266666666666667,,35
meridian,8sZBjwjEocH7tfsYFWg2NRBZR2Pzy7YrUebkh7yLAFP2,68C62WPYiiNZxprbuaMj2ULXpiTDKcs5xsX7kBGnyajR,MANLET-SOL,2026-09-09T22:53:00+00:00,2026-09-09T23:09:32+00:00,0.49999996500000005,0.4999979900000001,0.0000017559761408394931,-0.0000002190238591048832,0.14614533160725784,,bid_ask,exit,Out of range for 5m (limit: 5m),,16.533333333333335,,69
meridian,FcNzyQnKL6x4gaLs6yVfGTcFC5kBxC6TQcswrBjAeUjv,8LZK8W9Pp6GrMKCoTALS3AZ6eAX62uKv8bHPY57iXZkL,OTC-SOL,2026-09-09T23:10:17+00:00,2026-09-09T23:48:00+00:00,0.49999998599999995,0.500000135,0.0006981612410687354,0.0006983102410687003,0.2168966961719221,,bid_ask,exit,pumped far above range,,37.71666666666667,,35
meridian,F9d6FpUqm4KY7th23RdKmsgDX8dQWW1Uqu4aFPBDgoNE,GbrDAq3RjcVWeroLDUwmnuQ8N5xaaKj2Rk2dJDg64CLY,EMBER-SOL,2026-09-09T23:56:06+00:00,2026-09-10T00:01:10+00:00,0.499999977,0.5000011280000001,0.019435746321369303,0.01943689732136944,1.9384477053579445,,bid_ask,exit,pumped far above range,,5.066666666666666,,45
meridian,Fk6sSqmr8FSL3JbVnyfFd5kC7NNPbsHkFwGuC9Kx4GK,GbrDAq3RjcVWeroLDUwmnuQ8N5xaaKj2Rk2dJDg64CLY,EMBER-SOL,2026-09-10T00:10:33+00:00,2026-09-10T00:11:09+00:00,0.499999965,0.49999756700000003,0.0000021329999999999913,-0.00000026499999994378243,0.07327456837150947,,bid_ask,exit,pumped far above range,,0.6,,69
meridian,8BUYLe2jUDpjknFQnossMQhYqr2JyaEmZVdsW9qNpV7t,GbrDAq3RjcVWeroLDUwmnuQ8N5xaaKj2Rk2dJDg64CLY,EMBER-SOL,2026-09-10T00:16:14+00:00,2026-09-10T00:20:48+00:00,0.499999965,0.500004706,0.004814035245782006,0.004818776245782086,0.4088433658527748,,bid_ask,exit,pumped far above range,,4.566666666666666,,69
meridian,CdNtyCMf6nttJngc6vDQSVg5GBAzyTqE8qwgPCGbMbi5,EAf6shtt8QGJ7UiSRrDc6pzwXKEmb5s7tCCpSDe5zpzZ,BUTTHOLE-SOL,2026-09-10T02:02:52+00:00,2026-09-10T02:37:10+00:00,0.499999966,0.49999801299999996,0.00034471792795309254,0.00034276492795298763,0.18907825182090932,,bid_ask,exit,Out of range for 5m (limit: 5m),,34.3,,67
meridian,Es62uXVM4QorZQ4JSyNxhMTBgSezKWEBkuyDq4GxCuHc,54sbyULrreD9HBoV5wRWedeCBEw6gQ7VkdHW18rLX78e,CTO-SOL,2026-09-09T22:06:45+00:00,2026-09-10T03:19:44+00:00,0.49999997199999996,0.4932735968791098,0.030043364278862932,0.02331698915797281,2.3485119042954494,,bid_ask,exit,take profit,,312.98333333333335,,55
meridian,3wueAUzid7JZSmUkoHzpszXtzGTfa36LVCb14TgQq6Mt,5LjukK9FDhTo51wp2zkKdAgSk7yg4khr1v9d3HwKFsQJ,PURPS-SOL,2026-09-10T04:10:25+00:00,2026-09-10T04:26:56+00:00,0.49999997699999993,0.499983829,0.000010379999999999992,-0.000005767999999961582,0.02292118125912168,,bid_ask,exit,Out of range for 5m (limit: 5m),,16.516666666666666,,45
